continent,gdp_cap,life_exp,pop_millions
Asia,974.5803384,43.828,31.889923
Europe,5937.029525999999,76.423,3.600523
Africa,6223.367465,72.301,33.333216
Africa,4797.231267,42.731,12.420476
Americas,12779.37964,75.32,40.301927
Oceania,34435.367439999995,81.235,20.434176
Europe,36126.4927,79.829,8.199783
Asia,29796.04834,75.635,0.708573
Asia,1391.253792,64.062,150.448339
Europe,33692.60508,79.441,10.392226
Africa,1441.284873,56.728,8.078314
Americas,3822.137084,65.554,9.119152
Europe,7446.298803,74.852,4.552198
Africa,12569.85177,50.728,1.639131
Americas,9065.800825,72.39,190.010647
Europe,10680.79282,73.005,7.322858
Africa,1217.032994,52.295,14.326203
Africa,430.0706916,49.58,8.390505
Asia,1713.778686,59.723,14.131858
Africa,2042.09524,50.43,17.696293
Americas,36319.23501,80.653,33.390141
Africa,706.016537,44.74100000000001,4.369038
Africa,1704.063724,50.651,10.238807
Americas,13171.63885,78.553,16.284741
Asia,4959.114854,72.961,1318.683096
Americas,7006.580419,72.889,44.22755
Africa,986.1478792,65.152,0.71096
Africa,277.5518587,46.462,64.606759
Africa,3632.557798,55.322,3.80061
Americas,9645.06142,78.782,4.133884
Africa,1544.750112,48.328,18.013409
Europe,14619.222719999998,75.748,4.493312
Americas,8948.102923,78.273,11.416987
Europe,22833.30851,76.486,10.228744
Europe,35278.41874,78.332,5.46812
Africa,2082.4815670000003,54.791,0.496374
Americas,6025.374752000001,72.235,9.319622
Americas,6873.262326000001,74.994,13.75568
Africa,5581.180998,71.33800000000001,80.264543
Americas,5728.353514,71.878,6.939688
Africa,12154.08975,51.57899999999999,0.551201
Africa,641.3695236000001,58.04,4.906585
Africa,690.8055759,52.947,76.511887
Europe,33207.0844,79.313,5.23846
Europe,30470.0167,80.657,61.083916
Africa,13206.48452,56.735,1.454867
Africa,752.7497265,59.448,1.688359
Europe,32170.37442,79.406,82.400996
Africa,1327.60891,60.022,22.873338
Europe,27538.41188,79.483,10.70629
Americas,5186.050003,70.259,12.572928
Africa,942.6542111,56.007,9.947814
Africa,579.2317429999999,46.388000000000005,1.472041
Americas,1201.637154,60.916,8.502814
Americas,3548.3308460000003,70.19800000000001,7.483763
Asia,39724.97867,82.208,6.980412
Europe,18008.94444,73.33800000000001,9.956108
Europe,36180.78919,81.757,0.301931
Asia,2452.210407,64.69800000000001,1110.396331
Asia,3540.651564,70.65,223.547
Asia,11605.71449,70.964,69.45357
Asia,4471.061906,59.545,27.499638
Europe,40675.99635,78.885,4.109086
Asia,25523.2771,80.745,6.426679
Europe,28569.7197,80.546,58.147733
Americas,7320.880262000001,72.567,2.780132
Asia,31656.06806,82.603,127.467972
Asia,4519.461171,72.535,6.053193
Africa,1463.249282,54.11,35.610177
Asia,1593.06548,67.297,23.301725
Asia,23348.139730000003,78.623,49.04479
Asia,47306.98978,77.58800000000001,2.505559
Asia,10461.05868,71.993,3.921278
Africa,1569.331442,42.592,2.012649
Africa,414.5073415,45.678,3.193942
Africa,12057.49928,73.952,6.036914
Africa,1044.770126,59.443000000000005,19.167654
Africa,759.3499101,48.303,13.327079
Asia,12451.6558,74.241,24.821286
Africa,1042.581557,54.467,12.031795
Africa,1803.151496,64.164,3.270065
Africa,10956.99112,72.801,1.250882
Americas,11977.57496,76.195,108.700891
Asia,3095.7722710000003,66.803,2.874127
Europe,9253.896111,74.543,0.684736
Africa,3820.17523,71.164,33.757175
